time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:16:45Z,38371328,129613824,0.055,0.031,0.0629,0.0000,0.0000,0.2096,0.0000,0.0000
2025-08-26T18:16:50Z,40312832,129613824,0.052,0.030,0.0593,0.0000,0.0000,0.1978,0.0000,0.0000
2025-08-26T18:16:55Z,40394752,129613824,0.049,0.028,0.0560,0.0000,0.0000,0.1867,0.0000,0.0000
2025-08-26T18:17:00Z,39419904,129613824,0.046,0.026,0.0529,0.0000,0.0000,0.1762,0.0000,0.0000
2025-08-26T18:17:05Z,35258368,130420736,0.044,0.025,0.0499,0.0000,0.0000,0.1663,0.0000,0.0000
2025-08-26T18:17:10Z,36388864,131502080,0.041,0.024,0.0471,0.0000,0.0000,0.1570,0.0000,0.0000
2025-08-26T18:17:15Z,36511744,131502080,0.039,0.022,0.0445,0.0000,0.0000,0.1482,0.0000,0.0000
2025-08-26T18:17:20Z,35389440,131502080,0.037,0.021,0.0420,0.0000,0.0000,0.1399,0.0000,0.0000
2025-08-26T18:17:25Z,35405824,131502080,0.035,0.020,0.0396,0.0000,0.0000,0.1320,0.0000,0.0000
2025-08-26T18:17:30Z,33505280,125775872,0.033,0.019,0.0374,0.0000,0.0000,0.1246,0.0000,0.0000
2025-08-26T18:17:35Z,33570816,125775872,0.031,0.018,0.0353,0.0000,0.0000,0.1176,0.0000,0.0000
2025-08-26T18:17:40Z,35528704,125775872,0.029,0.017,0.0333,0.0000,0.0000,0.1110,0.0000,0.0000
2025-08-26T18:17:45Z,35528704,125775872,0.027,0.016,0.0314,0.0000,0.0000,0.1048,0.0000,0.0000
2025-08-26T18:17:50Z,34463744,125775872,0.026,0.015,0.0297,0.0000,0.0000,0.0989,0.0000,0.0000
2025-08-26T18:17:55Z,34693120,126033920,0.024,0.014,0.0280,0.0000,0.0000,0.0933,0.0000,0.0000
2025-08-26T18:18:00Z,34717696,126033920,0.023,0.013,0.0264,0.0000,0.0000,0.0881,0.0000,0.0000
2025-08-26T18:18:05Z,34922496,126033920,0.022,0.012,0.0250,0.0000,0.0000,0.0832,0.0000,0.0000
2025-08-26T18:18:10Z,34684928,126844928,0.021,0.012,0.0236,0.0000,0.0000,0.0785,0.0000,0.0000
2025-08-26T18:18:15Z,33439744,130232320,0.019,0.011,0.0222,0.0000,0.0000,0.0741,0.0000,0.0000
2025-08-26T18:18:20Z,32481280,129056768,0.018,0.010,0.0210,0.0000,0.0000,0.0699,0.0000,0.0000
2025-08-26T18:18:25Z,32595968,129056768,0.017,0.010,0.0198,0.0000,0.0000,0.0660,0.0000,0.0000
2025-08-26T18:18:30Z,36265984,137031680,0.016,0.009,0.0187,0.0000,0.0000,0.0623,0.0000,0.0000
2025-08-26T18:18:35Z,36405248,137031680,0.015,0.009,0.0176,0.0000,0.0000,0.0588,0.0000,0.0000
2025-08-26T18:18:40Z,36618240,137031680,0.015,0.008,0.0167,0.0000,0.0000,0.0555,0.0000,0.0000
2025-08-26T18:18:45Z,33144832,137297920,0.014,0.008,0.0157,0.0000,0.0000,0.0524,0.0000,0.0000
2025-08-26T18:18:50Z,33153024,137297920,0.013,0.007,0.0148,0.0000,0.0000,0.0494,0.0000,0.0000
2025-08-26T18:18:55Z,34267136,137297920,0.012,0.007,0.0140,0.0000,0.0000,0.0467,0.0000,0.0000
2025-08-26T18:19:00Z,33423360,133517312,0.012,0.007,0.0132,0.0000,0.0000,0.0441,0.0000,0.0000
2025-08-26T18:19:05Z,33112064,133517312,0.011,0.006,0.0125,0.0000,0.0000,0.0416,0.0000,0.0000
2025-08-26T18:19:10Z,54337536,151896064,0.010,0.006,0.0118,0.0000,0.0000,0.0392,0.0000,0.0000
2025-08-26T18:19:15Z,54648832,151896064,0.010,0.006,0.0111,0.0000,0.0000,0.0370,0.0000,0.0000
2025-08-26T18:19:20Z,39444480,145817600,0.009,0.005,0.0105,0.0000,0.0000,0.0350,0.0000,0.0000
2025-08-26T18:19:25Z,39550976,145817600,0.009,0.005,0.0099,0.0000,0.0000,0.0330,0.0000,0.0000
2025-08-26T18:19:30Z,40681472,133652480,0.008,0.005,0.0093,0.0000,0.0000,0.0312,0.0000,0.0000
2025-08-26T18:19:35Z,40951808,133345280,0.008,0.004,0.0088,0.0000,0.0000,0.0294,0.0000,0.0000
2025-08-26T18:19:40Z,40845312,133345280,0.007,0.004,0.0083,0.0000,0.0000,0.0278,0.0000,0.0000
